"","Point","class","CnpyCov","MidCov","RepCov","GrdCov","Duff","baf","dwd","Site","PntNum","GPS_E","GPS_N","Obs1","Obs2","Obs3","Date","Slp","Asp","SlpPos","EcoSys","EcoMoist","CanSpp1","CanHgt1","CanDist1","CanAge1","CanHgtLimb1","CanSpp2","CanHgt2","CanDist2","CanAge2","CanHgtLimb2","CanSpp3","CanHgt3","CanDist3","CanHgtLimb3","Duff_C","Duff_N","Duff_S","Duff_E","DUff_W","Pres_Can","Pres_Mid","Pres_Repr","Pres_Herb"
"11","BA3919","Pine",0.653061224489796,0.63265306122449,0.469387755102041,0.346938775510204,3.6,6.63887696,0,"BA","3919","8529.35","3101.129","ET","MG","RA",2008-07-09,7,325,"Toe","CES203.496c","Mesic","Water Oak",32,NA,33,17,"Loblolly",42,NA,25,27,"Yellow Poplar",47,NA,15,4,3,2,5,4,32,31,23,17
"12","BA3920","Pine",0.816326530612245,0.612244897959184,0.448979591836735,0.285714285714286,3.6,10.70452144,0,"BA","3920","8528.899","3201.106","ET","MG","RA",2008-07-09,9,310,"Mid","CES203.496c","Mesic","Loblolly",58,NA,20,24,"Loblolly",42,NA,19,24,"Sweetgum",22,NA,15,4,3,2,6,3,40,30,22,14
"13","BA3921","Pine*",0.326530612244898,0.591836734693878,0.551020408163265,0.63265306122449,0.8,9.79336464,10513.0047120219,"BA","3921","8528.718","3201.096","ET","MG","RA",2008-07-09,4,130,"Lower","CES203.559","Hydric","Water Oak",43,NA,35,20,"Red Maple",40,NA,28,18,"Sweetgum",67,NA,24,2,0,2,0,0,16,29,27,31
"14","BA3932","Mixed",0.551020408163265,0.755102040816326,0.857142857142857,0.204081632653061,2.4,24.92485136,9457.76468363207,"BA","3932","8526.841","3200.909","CJ","PA","MT",2008-07-09,16,360,"Mid","CES203.496d","Mesic","Water Oak",167,NA,25,30,"Water Oak",131,NA,39,25,"Tulip Poplar",128,NA,34,2,2,3,4,1,27,37,42,10
"15","BA3971","Pine",0.897959183673469,0.653061224489796,0.183673469387755,0.36734693877551,2.8,21.1451216,0,"BA","3971","8528.759","3200.810","ET","MG","RA",2008-07-09,4,165,"Flat","CES203.496c","Mesic","Loblolly",56,NA,23,36,"Loblolly",56,NA,21,35,"Yellow Poplar",42,NA,21,2,1,9,2,0,44,32,9,18
"16","BA3983","Mixed",0.755102040816326,0.755102040816326,0.469387755102041,0.653061224489796,3.8,72.0756448,60223.9122902958,"BA","3983","8526.700","3200.609","MT","CJ","PA",2008-07-09,10,200,"Lower","CES203.496d","Mesic","Pig Nut",92,21,9999,9,"Water Oak",81,12,9999,42,"Water Oak",66,24,18,3,3,3,4,6,37,37,23,32
"17","BA3988","Mixed*",0.408163265306122,0.714285714285714,0.673469387755102,0.530612244897959,1.4,2.2936016,0,"BA","3988","8525.843","3200.530","MT","PA","CJ",2008-07-10,7,240,"Mid","CES203.496d","Mesic","Water Oak",80,23,9999,7,"Black Oak",78,25,57,10,"Water Oak",68,17,11,0,2,2,3,0,20,35,33,26
"18","BA4000","Pine",0.755102040816326,0.571428571428571,0.306122448979592,0.387755102040816,4,21.92117584,0,"BA","4000","8528.781","3200.651","ET","MG","RA",2008-07-09,7,245,"Lower","CES203.496c","Mesic","Loblolly",75,NA,29,39,"Pignut",70,NA,42,19,"Water Oak",72,NA,26,2,3,6,5,4,37,28,15,19
"19","BA4001","OpenHerb",0.0612244897959184,0.244897959183673,0.448979591836735,0.693877551020408,0.8,9.85306112,0,"BA","4001","8528614","3200642","RA","MG","ET",2008-07-10,0,180,"Flat","SEGAP211","Mesic","Post oak",80,NA,86,13,"NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,0,0,0,2,2,3,12,22,34
"20","BA4003","Succ*",0,0,0.63265306122449,0.938775510204082,0.4,0,261510.405257316,"BA","4003","8528.271","3200.607","ET","MG","RA",2008-07-10,15,80,"Mid","SEGAP511","Mesic","NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,2,0,0,0,0,0,0,31,46
"21","BA4015","OpenHerb",0.346938775510204,0.306122448979592,0.204081632653061,0.775510204081633,0.6,96.81198096,0,"BA","4015","8525.181","3200.3153","CJ","RA",NA,2008-07-17,0,9999,"Flat","SEGAP211","Xeric","Water Oak",63,NA,9999,10,"Water Oak",64,NA,9999,15,"Shortleaf Pine",9999,NA,21,1,0,2,0,0,17,15,10,38
"22","BA4016","OpenHerb",0.102040816326531,0.122448979591837,0.163265306122449,0.489795918367347,0,0,0,"BA","4016","8525.014","3200.306","MT","CJ","PA",2008-07-10,0,0,"Flat","SEGAP820","Mesic","NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,0,0,0,0,0,5,6,8,24
"23","BA4027","Pine",0.224489795918367,0.0816326530612245,0.428571428571429,0.857142857142857,1.6,6.65144464,9439.51988429635,"BA","4027","8529.329","3200.580","ET","MG","RA",2008-07-11,1,10,"Flat","CES203.496c","Mesic","Loblolly",71,NA,25,41,"Loblolly",69,NA,27,37,"Loblolly",69,NA,34,1,3,0,4,0,11,4,21,42
"24","BA4029","Pine",0.408163265306122,0.0816326530612245,0.510204081632653,0.448979591836735,4,8.07159248,7942.05932561053,"BA","4029","8528.967","3200.531","ET","MG","RA",2008-07-10,7,210,"Mid","CES203.496c","Mesic","Loblolly",74,NA,34,34,"Loblolly",79,NA,30,35,"Loblolly",73,NA,28,1,8,4,2,5,20,4,25,22
"25","BA4032","Mixed*",0.0204081632653061,0.0612244897959184,0.469387755102041,0.693877551020408,0.2,0,15590.5200625823,"BA","4032","8528.455","3200.475","ET","MG","RA",2008-07-10,3,65,"Lower","SEGAP511","Mesic","NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,0,0,0,1,0,1,3,23,34
"26","BA4044","OpenHerb",0,0.0204081632653061,0,0.142857142857143,0.4,0,0,"BA","4044","8525.203","3200.175","MT","PA","CJ",2008-07-10,0,0,"Flat","SEGAP820","Mesic","NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,0,0,0,2,0,0,1,0,7
"27","BA4045","OpenHerb",0,0,0.102040816326531,0.714285714285714,0,0,0,"BA","4045","8525.027","3200.163","MT","CJ",NA,2008-07-10,0,0,"Flat","SEGAP820","Mesic","NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,0,0,0,0,0,0,0,5,35
"28","BA4048","ForWet",0.959183673469388,0.857142857142857,0.612244897959184,0.857142857142857,0.6,51.34211472,0,"BA","4048","8524.513","3200.109","MT","CJ","PA",2008-07-24,0,340,"Flat","CES203.559","Hydric","Water Oak",71,NA,43,45,"Willow Oak",67,NA,34,37,"Water Oak",89,NA,46,1,0,1,1,0,47,42,30,42
"29","BA4049","Succ*",0,0.469387755102041,0.448979591836735,0.755102040816326,2.6,1.6337984,0,"BA","4049","8530.524","3200.532","MT","ET","MG",2008-07-14,4,200,"Mid","CES203.496c","Mesic","Loblolly",31,NA,14,4,"Loblolly",28,NA,12,6,"Loblolly",34,NA,9,0,3,4,6,0,0,23,22,37
"30","BA4055","Pine",0.469387755102041,0.26530612244898,0.469387755102041,0.795918367346939,1.8,21.13883776,28380.3940502933,"BA","4055","8529.514","3200.430","ET","MG","RA",2008-07-11,10,210,"Mid","CES203.496c","Mesic","Loblolly",66,NA,28,26,"Loblolly",71,NA,26,40,"Loblolly",73,NA,40,2,3,2,1,1,23,13,23,39
"31","BA4057","Pine",0.36734693877551,0.36734693877551,0.387755102040816,0.73469387755102,3.2,20.70211088,36465.5131277679,"BA","4057","8529.161","3200.395","ET","MG","RA",2008-07-11,4,35,"Flat","CES203.496c","Mesic","Loblolly",68,NA,27,38,"Loblolly",70,NA,29,31,"Loblolly",74,NA,36,2,4,4,0,6,18,18,19,36
"32","BA4071","OpenHerb*",0.755102040816326,0.755102040816326,0.571428571428571,0.204081632653061,1.4,10.57570272,0,"BA","4071","8526.738","3200.171","PA","CJ","MT",2008-07-08,16,180,"Lower","CES203.496d","Mesic","Water Oak",104,NA,54,34,"Water Oak",64,NA,37,18,"Sweetgum",68,NA,29,1,2,1,1,2,37,37,28,10
"33","BA4076","HDWD*",0.714285714285714,0.877551020408163,0.755102040816326,0.653061224489796,2.8,50.3806872,28827.0709297685,"BA","4076","8524.541","3159.974","MT","CJ","PA",2008-07-24,13,0,"Mid","CES203.496d","Mesic","Hickory",87,NA,30,29,"Hickory",56,NA,30,16,"Hickory",132,NA,36,2,1,4,2,5,35,43,37,32
"34","BA4079","OpenHerb*",0.204081632653061,0.73469387755102,0.408163265306122,0.897959183673469,2.6,8.24439808,13914.1138627492,"BA","4079","8530.208","3200.347","MT","ET","PA",2008-07-14,8,260,"Mid","CES203.496d","Mesic","Post Oak",63,NA,35,6,"Cottonwood",76,NA,7,29,"Sweetgum",88,NA,13,1,7,2,0,3,10,36,20,44
"35","BA4086","ForWet",0.224489795918367,0.877551020408163,0.469387755102041,0.63265306122449,1.6,20.58585984,15825.7049246178,"BA","4086","8529.005","3200.247","ET","MG","RA",2008-07-10,0,95,"Flat","CES203.496d","Hydric","Loblolly",67,NA,26,23,"Coastal Plain Willow",56,NA,26,29,"Loblolly",63,NA,32,4,3,1,0,0,11,43,23,31
"36","BA4087","Pine",0.346938775510204,0.244897959183673,0.224489795918367,0.755102040816326,2.6,13.18663824,36232.6834130251,"BA","4087","8528.838","3200.223","ET","MG","RA",2008-07-10,3,55,"Flat","CES203.496c","Xeric","Loblolly",88,NA,29,44,"Loblolly",75,NA,29,44,"Loblolly",83,NA,38,0,4,0,6,3,17,12,11,37
"37","BA4106","Pine",0.510204081632653,0.224489795918367,0.346938775510204,0.795918367346939,4.8,19.18456352,26193.7932035173,"BA","4106","8529.881","3200.172","ET","MG","RA",2008-07-11,4,110,"Lower","CES203.496c","Mesic","Loblolly",68,NA,32,26,"Loblolly",72,NA,27,33,"Loblolly",68,NA,34,2,2,3,9,8,25,11,17,39
"38","BA4117","ForWet",0.489795918367347,0.755102040816326,0.428571428571429,0.714285714285714,0.8,34.56112,42787.2353048315,"BA","4117","8527.488","3159.956","ET","MG","RA",2008-07-22,0,0,"Flat","CES203.559","Hydric","Water Oak",70,NA,65,44,"Swamp Chestnut",66,NA,48,22,"Sweetgum",75,NA,20,0,3,0,0,1,24,37,21,35
"39","BA4132","Pine",0.510204081632653,0.326530612244898,0.387755102040816,0.693877551020408,0.8,7.09131344,1949.35824155247,"BA","4132","8529.905","3200.031","PA","MT","ET",2008-07-21,9999,70,"Flat","CES203.496c","Mesic","Loblolly",67,NA,24,36,"Loblolly",80,NA,26,46,"Tulip Poplar",79,NA,26,0,1,0,1,2,25,16,19,34
"40","BA4137","ForWet",0.714285714285714,0.510204081632653,0.102040816326531,0.224489795918367,1.4,81.98526048,83975.3475891083,"BA","4137","8528.358","3159.871","ET","MG","RA",2008-07-24,0,0,"Flat","CES203.559","Hydric","Burr Oak",57,NA,48,5,"Burr Oak",71,NA,58,8,"9999",78,NA,6,2,1,2,2,0,35,25,5,11
"41","BA4161","Succ",0.653061224489796,0.673469387755102,0.469387755102041,0.510204081632653,3.2,9.21210944,0,"BA","4161","8529.925","3159.879","MT","ET","PA",2008-07-21,8,70,"Mid","SEGAP420","Mesic","Loblolly",32,NA,13,14,"Loblolly",47,NA,15,13,"Sweetgum",31,NA,6,5,3,3,3,2,32,33,23,25
"42","BA4166","ForWet",0.653061224489796,0.714285714285714,0.63265306122449,0.714285714285714,1,82.00725392,0,"BA","4166","8528.381","3159.739","ET","MG","RA",2008-07-24,0,0,"Flat","CES203.559","Hydric","River Birch",54,NA,44,27,"Water Oak",70,NA,56,43,"Tulip Poplar",72,NA,38,0,0,1,0,4,32,35,31,35
"43","BA4191","Succ",0.816326530612245,0.408163265306122,0.0816326530612245,0.653061224489796,2.4,8.55544816,0,"BA","4191","8529.788","3159.708","MT","ET","PA",2008-07-21,2,150,"Flat","SEGAP420","Mesic","Loblolly",37,NA,16,10,"Loblolly",43,NA,15,12,"Loblolly",41,NA,12,4,1,3,1,3,40,20,4,32
"44","BA4208","ForWet*",0.938775510204082,0.714285714285714,0.877551020408163,0.857142857142857,1.4,47.68491984,17306.4056100955,"BA","4208","8525.996","3159.352","CJ","PA","RA",2008-07-16,10,55,"Lower","CES203.496d","Mesic","Water Oak",92,NA,94,42,"Water Oak",79,NA,56,38,"Sweetgum",85,NA,32,1,3,3,0,0,46,35,43,42
"45","BA4211","OpenHerb",0.693877551020408,0.122448979591837,0.26530612244898,0.979591836734694,1.2,27.44781312,17638.2478533039,"BA","4211","8525.488","3159.323","CJ","PA","RA",2008-07-16,7,360,"Mid","CES203.496c","Mesic","Chinkapin Oak",50,NA,56,10,"Loblolly",69,NA,31,42,"Chinkapin Oak",52,NA,12,0,0,2,2,2,34,6,13,48
"46","BA4222","Mixed*",0.510204081632653,0.897959183673469,0.530612244897959,0.26530612244898,3,25.213908,61635.4193975782,"BA","4222","8530.815","3159.673","MT","MG","ET",2008-07-18,8,310,"Ridge","CES203.496a","Mesic","White Oak",89,NA,80,24,"Hickory",41,NA,47,20,"Pig Nut",59,NA,33,3,0,5,4,3,25,44,26,13
"47","BA4227","Pine",0.673469387755102,0.285714285714286,0.693877551020408,0.897959183673469,1.2,8.80051792,0,"BA","4227","8529.956","3159.578","PA","MT","ET",2008-07-21,2,255,"Flat","CES203.496c","Mesic","Shortleaf",63,NA,26,31,"Loblolly",67,NA,23,29,"Loblolly",81,NA,41,1,2,1,2,0,33,14,34,44
"48","BA4228","Pine",0.612244897959184,0.0612244897959184,0.0408163265306122,0.693877551020408,3.8,10.60083808,5465.1145801848,"BA","4228","8529.783","3159.580","MT","ET","PA",2008-07-21,5,130,"Lower","CES203.496c","Mesic","Loblolly",79,NA,22,34,"Loblolly",72,NA,26,39,"Loblolly",63,NA,33,0,5,0,5,9,30,3,2,34
"49","BA4236","Pine",0.489795918367347,0.510204081632653,0.408163265306122,0.326530612244898,2.2,50.69173728,10713.1451080066,"BA","4236","8528.428","3159.465","ET","MG","RA",2008-07-24,8,140,"Ridge","CES203.476","Mesic","Water Oak",64,NA,62,9,"Loblolly",76,NA,55,55,"Loblolly",78,NA,57,1,6,0,4,0,24,25,20,16
"50","BA4246","ForWet",0.775510204081633,0.857142857142857,0.571428571428571,0.530612244897959,0.2,34.71193216,0,"BA","4246","8526.527","3159.271","CJ","PA","RA",2008-07-16,13,325,"Ridge","CES203.559","Hydric","Post Oak",78,NA,43,46,"River Birch",60,NA,23,26,"Water Oak",38,NA,26,0,0,1,0,0,38,42,28,26
"51","BA4248","ForWet",0.591836734693878,0.612244897959184,0.591836734693878,0.959183673469388,0.6,5.38210896,0,"BA","4248","8526.200","3159.244","CJ","PA","RA",2008-07-16,0,0,"Flat","CES203.496d","Mesic","River Birch",35,NA,27,22,"Sweetgum",44,NA,9999,16,"Sweetgum",46,NA,22,1,0,0,1,1,29,30,29,47
"52","BA4269","HDWD*",0.489795918367347,0.673469387755102,0.693877551020408,0.510204081632653,3.8,3.61006608,84348.9353154977,"BA","4269","8531.177","3159.564","MT","MG","ET",2008-07-18,14,110,"Mid","CES203.496c","Mesic","Loblolly",51,NA,32,34,"White Oak",58,NA,62,29,"American Elm",64,NA,47,4,4,3,4,4,24,33,34,25
"53","BA4270","HDWD*",0.469387755102041,0.693877551020408,0.591836734693878,0.489795918367347,2.8,6.10160864,39211.5813606659,"BA","4270","8531.003","3159.550","ET","MG","RA",2008-07-22,14,120,"Ridge","CES203.476","Mesic","Loblolly",59,NA,33,34,"Loblolly",61,NA,29,36,"Tulip Poplar",60,NA,34,2,3,2,3,4,23,34,29,24
"54","BA4289","ForWet",0.591836734693878,0.959183673469388,0.26530612244898,0.653061224489796,1.4,78.2652272,11275.1760337338,"BA","4289","8527.751","3159.231","ET","MG","RA",2008-07-24,1,70,"Flat","CES203.496d","Hydric","Mocker Nut",76,NA,89,39,"Mocker Nut",64,NA,58,34,"Yellow Poplar",75,NA,32,1,1,2,0,3,29,47,13,32
"55","BA4290","Mixed",0.897959183673469,0.63265306122449,0.448979591836735,0.63265306122449,2,165.3749592,9101.40335695987,"BA","4290","8527.594","3159.240","ET","MG","RA",2008-07-24,9999,9999,"Flat","CES203.559","Hydric","Red Maple",66,NA,49,10,"Sycamore",74,NA,63,47,"Sweetgum",78,NA,52,0,0,4,3,3,44,31,22,31
"56","BA4291","ForWet",0.857142857142857,0.775510204081633,0.63265306122449,0.673469387755102,3,101.45573872,63888.4754009532,"BA","4291","8527.392","3159.208","ET","MG","RA",2008-07-24,0,0,"Flat","CES203.496c","Mesic","Loblolly",95,NA,53,73,"Loblolly",96,NA,54,67,"Tulip Poplar",74,NA,26,5,4,3,2,1,42,38,31,33
"57","BA4301","Succ",0.36734693877551,0.204081632653061,0.857142857142857,0.938775510204082,2,3.48124736,191530.494798388,"BA","4301","8525.707","3159.058","CJ","PA","RA",2008-07-17,0,0,"Flat","CES203.496d","Mesic","Water Oak",47,NA,62,8,"Mockernut",56,NA,63,11,"Red Oak",70,NA,16,1,4,2,1,2,18,10,42,46
"58","BA4314","Pine",0.693877551020408,0.612244897959184,0.63265306122449,0.428571428571429,3,66.97316672,10662.8272656716,"BA","4314","8523.452","3158.823","MT","PA","CJ",2008-07-24,7,110,"Mid","CES203.496c","Mesic","Loblolly",94,NA,56,67,"Loblolly",110,NA,71,67,"Water Oak",123,NA,45,1,6,3,5,0,34,30,31,21
"59","BA4326","Pine",0.551020408163265,0.102040816326531,0.306122448979592,0.653061224489796,1.6,19.26939536,2754.99349762679,"BA","4326","8529.824","3159.294","ET","MG","RA",2008-07-22,12,115,"Ridge","CES203.496c","Mesic","Loblolly",61,NA,23,35,"Loblolly",57,NA,25,25,"Loblolly",62,NA,31,2,0,0,2,4,27,5,15,32
"60","BA4333","Pine",0.571428571428571,0.26530612244898,0.673469387755102,0.979591836734694,1,16.7150144,1814.58391671346,"BA","4333","8528.623","3159.191","ET","MG","RA",2008-07-22,1,170,"Flat","CES203.496c","Mesic","Loblolly",74,NA,26,25,"Loblolly",60,NA,28,30,"Loblolly",65,NA,29,2,1,0,1,1,28,13,33,48
"61","BA4339","ForWet",0.836734693877551,0.755102040816326,0.775510204081633,0.653061224489796,2.4,24.62636896,0,"BA","4339","8527.590","3159.085","MG","CJ","RA",2008-07-18,1,340,"Flat","CES203.496d","Mesic","Red Maple",52,NA,43,27,"Red Maple",61,NA,46,20,"Mockernut",62,NA,23,1,3,3,2,3,41,37,38,32
"62","BA4343","ForWet",0.877551020408163,0.693877551020408,0.530612244897959,0.897959183673469,0.6,100.4943112,14718.6757413335,"BA","4343","8526.919","3159.015","CJ","PA","RA",2008-07-16,4,42,"Flat","CES203.496d","Mesic","Loblolly",99,NA,58,46,"Loblolly",84,NA,47,46,"Sweetgum",107,NA,51,1,1,0,1,0,43,34,26,44
"63","BA4349","Pine*",0.551020408163265,0.448979591836735,0.795918367346939,0.673469387755102,2.2,8.55544816,0,"BA","4349","8525.894","3158.924","CJ","PA","RA",2008-07-17,12,315,"Mid","CES203.496d","Mesic","White Oak",67,NA,59,22,"Pignut Hickory",58,NA,50,14,"Sweetgum",43,NA,10,2,2,3,2,2,27,22,39,33
"64","BA4369","Pine*",0.551020408163265,0.510204081632653,0.285714285714286,0.551020408163265,2.4,9.2843736,13101.4623830819,"BA","4369","8530.866","3159.243","MG","ET",NA,2008-07-15,16,20,"Ridge",NA,"Mesic","Loblolly",85,NA,35,47,"Water Oak",49,NA,52,21,NA,77,NA,16,1,4,2,1,4,27,25,14,27
"65","BA4386","Succ*",0.163265306122449,0.204081632653061,0.285714285714286,1,0.4,0,0,"BA","4386","8527.960","3158.973","CJ","RA",NA,2008-07-18,0,0,"Flat","SEGAP820","Mesic","Sweetgum",69,NA,9999,13,"Sweetgum",65,NA,9999,12,"NTTC",NA,NA,NA,0,0,2,0,0,8,10,14,49
"66","BA4387","Succ*",0.346938775510204,0.306122448979592,0.244897959183673,0.693877551020408,0,0,770.501778231677,"BA","4387","8527790","3158954","RA","CJ",NA,2008-07-18,2,185,"Flat","SEGAP820","Mesic","water oak",67,NA,38,10,"water oak",61,NA,30,15,"yellow poplar",69,NA,43,NA,NA,NA,NA,NA,17,15,12,34
"67","BA4393","Succ",0.285714285714286,0.183673469387755,0.204081632653061,0.836734693877551,1,5.54234688,0,"BA","4393","8526.761","3158.859","CJ","PA","RA",2008-07-17,2,345,"Ridge","CES203.496d","Mesic","Pignut Hickory",62,NA,26,8,"White Oak",44,NA,22,10,"Sweetgum",59,NA,16,0,0,3,1,1,14,9,10,41
"68","BA4409","HDWD*",0.285714285714286,0.530612244897959,0.918367346938776,0.428571428571429,0,4.90767904,0,"BA","4409","8523.167","3158.519","MT","PA",NA,2008-07-22,6,170,"Mid","CES203.496d","Mesic","White Oak",56,NA,37,17,"White Oak",75,NA,54,18,NA,76,NA,23,0,0,0,0,0,14,26,45,21
"69","BA4425","Mixed",0.469387755102041,0.408163265306122,0.326530612244898,0.346938775510204,1.6,16.4322416,12673.4109592523,"BA","4425","8528.838","3158.909","CJ","RA",NA,2008-07-18,1,305,"Flat","SEGAP211","Xeric","Post Oak",50,NA,59,13,"Shortleaf Pine",54,NA,53,19,"Loblolly",53,NA,34,0,4,1,3,0,23,20,16,17
"70","BA4429","Mixed",0.877551020408163,0.816326530612245,0.591836734693878,0.469387755102041,1.8,46.09825024,44182.8637556451,"BA","4429","8528.144","3158.846","MG","CJ","RA",2008-07-18,1,105,"Flat","CES203.559","Hydric","Water Oak",86,NA,54,46,"Water Oak",95,NA,47,41,"Sweet Gum",22,NA,75,1,1,3,2,2,43,40,29,23
"71","BA4476","OpenHerb*",0.408163265306122,0.63265306122449,0.755102040816326,0.326530612244898,1.8,13.34059232,0,"BA","4476","8527.663","3158.647","ET","MG","RA",2008-07-23,1,170,"Flat","CES203.496c","Mesic","Loblolly",42,NA,18,21,"Water Oak",86,NA,38,45,"Sweetgum",52,NA,25,2,2,1,2,2,20,31,37,16
"72","BA4484","Succ",0,0,0.163265306122449,0.877551020408163,0,0,0,"BA","4484","8526.285","3158.524","CJ","RA","PA",2008-07-17,6,20,"Mid","SEGAP710","Xeric","NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,NA,"NTTC",NA,NA,NA,0,0,0,0,0,0,0,8,43
"73","BA4485","OpenHerb*",0.571428571428571,0.26530612244898,0.693877551020408,0.714285714285714,1,9.18069024,40491.5311339865,"BA","4485","8526.121","3158.503","CJ","PA","RA",2008-07-17,17,110,"Mid","CES203.496d","Mesic","Water Oak",62,NA,57,15,"Red Oak",78,NA,67,13,"Sweet Gum",59,NA,6,2,0,0,2,1,28,13,34,35
"74","BA4499","Mixed",0.408163265306122,0.612244897959184,0.836734693877551,0.551020408163265,1,21.47816512,3762.37136193914,"BA","4499","8529.585","3158.662","ET","MG","RA",2008-07-22,7,20,"Mid","CES203.496d","Mesic","Greem Elm",40,NA,57,19,"Water Oak",53,NA,44,26,"Tulip Poplar",67,NA,31,2,0,0,1,2,20,30,41,27
"75","BA4506","ForWet",0.714285714285714,0.714285714285714,0.428571428571429,0.530612244897959,1.6,67.34391328,14361.2672171101,"BA","4506","8528.180","3158.572","ET","MG","RA",2008-07-23,0,0,"Flat","CES203.559",NA,"Mockernut Hickory",70,NA,55,55,"Swamp Chestnut",75,NA,80,40,"Yellow Poplar",72,NA,35,2,1,2,2,1,35,35,21,26
